state,x,y
Andhra Pradesh,-120,-150
Arunachal Pradesh,210,160
Assam,190,110
Bihar,60,90
Chhattisgarh,-35,0
Delhi, -130, 155
Goa,-200,-150
Gujarat,-250,30
Haryana,-150,170
Himachal Pradesh,-150,240
Jharkhand,35,40
Jammu & Kashmir, -140, 300
Karnataka,-170,-180
Kerala,-110,-250
Madhya Pradesh,-120,30
Maharashtra,-180,-60
Manipur,230,70
Meghalaya,150,90
Mizoram,210,40
Nagaland,240,100
Odisha,25,-30
Punjab,-160,210
Rajasthan,-210,100
Sikkim,110,140
Tamil Nadu,-120,-250
Telangana,-100,-90
Tripura,180,40
Uttar Pradesh,-65,110
Uttarakhand,-85,190
West Bengal,80,30
